id,university,subject,close,first_result,interview,finale_rusult
104,연세대학교(면접형),신학과,10/1~10/10,09월 30일,10월 14일,11월 17일
105,연세대학교(면접형),정치외교학과,10/1~10/10,09월 30일,10월 14일,11월 17일
106,연세대학교(면접형),행정학과,10/1~10/10,09월 30일,10월 14일,11월 17일
107,연세대학교(면접형),사회복지학과,10/1~10/10,09월 30일,10월 14일,11월 17일
108,연세대학교(면접형),사회학과,10/1~10/10,09월 30일,10월 14일,11월 17일
109,연세대학교(면접형),문화인류학과,10/1~10/10,09월 30일,10월 14일,11월 17일
110,연세대학교(면접형),언론홍보영상학부,10/1~10/10,09월 30일,10월 14일,11월 17일
111,연세대학교(면접형),의류환경학과(인문),10/1~10/10,09월 30일,10월 14일,11월 17일
112,연세대학교(면접형),의류환경학과(자연),10/1~10/10,09월 30일,10월 14일,11월 17일
113,연세대학교(면접형),식품영양학과(인문),10/1~10/10,09월 30일,10월 14일,11월 17일
114,연세대학교(면접형),식품영양학과(자연),10/1~10/10,09월 30일,10월 14일,11월 17일
115,연세대학교(면접형),실내건축학과(인문),10/1~10/10,09월 30일,10월 14일,11월 17일
116,연세대학교(면접형),실내건축학과(자연),10/1~10/10,09월 30일,10월 14일,11월 17일
117,연세대학교(면접형),아동가족학과(인문),10/1~10/10,09월 30일,10월 14일,11월 17일
118,연세대학교(면접형),생활디자인학과(인문),10/1~10/10,09월 30일,10월 14일,11월 17일
119,연세대학교(면접형),생활디자인학과(자연),10/1~10/10,09월 30일,10월 14일,11월 17일
120,연세대학교(면접형),교육학부,10/1~10/10,09월 30일,10월 14일,11월 17일
121,연세대학교(면접형),간호학과(인문),10/1~10/10,09월 30일,10월 14일,11월 17일
122,연세대학교(면접형),간호학과(자연),10/1~10/10,09월 30일,10월 14일,11월 17일
123,연세대학교(면접형),의예과,10/1~10/10,09월 30일,10월 14일,11월 17일
124,연세대학교(면접형),치의예과,10/1~10/10,09월 30일,10월 14일,11월 17일
125,연세대학교(활동우수자),국어국문학과,9/11~9/13,11월 17일,12월 02일,12월 15일
126,연세대학교(활동우수자),중어중문학과,9/11~9/13,11월 17일,12월 02일,12월 15일
127,연세대학교(활동우수자),영어영문학과,9/11~9/13,11월 17일,12월 02일,12월 15일
128,연세대학교(활동우수자),독어독문학과,9/11~9/13,11월 17일,12월 02일,12월 15일
129,연세대학교(활동우수자),불어불문학과,9/11~9/13,11월 17일,12월 02일,12월 15일
130,연세대학교(활동우수자),노어노문학과,9/11~9/13,11월 17일,12월 02일,12월 15일
131,연세대학교(활동우수자),사학과,9/11~9/13,11월 17일,12월 02일,12월 15일
132,연세대학교(활동우수자),철학과,9/11~9/13,11월 17일,12월 02일,12월 15일
133,연세대학교(활동우수자),문헌정보학과,9/11~9/13,11월 17일,12월 02일,12월 15일
134,연세대학교(활동우수자),심리학과,9/11~9/13,11월 17일,12월 02일,12월 15일
135,연세대학교(활동우수자),경제학부,9/11~9/13,11월 17일,12월 02일,12월 15일
136,연세대학교(활동우수자),응용통계학과,9/11~9/13,11월 17일,12월 02일,12월 15일
137,연세대학교(활동우수자),경제학과,9/11~9/13,11월 17일,12월 02일,12월 15일
138,연세대학교(활동우수자),수학과,9/11~9/13,11월 17일,12월 02일,12월 15일
139,연세대학교(활동우수자),물리학과,9/11~9/13,11월 17일,12월 02일,12월 15일
140,연세대학교(활동우수자),화학과,9/11~9/13,11월 17일,12월 02일,12월 15일
141,연세대학교(활동우수자),지구시스템학과,9/11~9/13,11월 17일,12월 02일,12월 15일
142,연세대학교(활동우수자),천문우주학과,9/11~9/13,11월 17일,12월 02일,12월 15일
143,연세대학교(활동우수자),대기과학과,9/11~9/13,11월 17일,12월 02일,12월 15일
144,연세대학교(활동우수자),화공생명공학부,9/11~9/13,11월 17일,12월 02일,12월 15일
145,연세대학교(활동우수자),전기전자공학부,9/11~9/13,11월 17일,12월 02일,12월 15일
146,연세대학교(활동우수자),건축공학과,9/11~9/13,11월 17일,12월 02일,12월 15일
147,연세대학교(활동우수자),도시공학과,9/11~9/13,11월 17일,12월 02일,12월 15일
