id,university,subject,close,first_result,interview,finale_rusult,x_point,y_point
86,연세대학교(면접형),수학과,10/1~10/10,09월 30일,10월 14일,11월 17일,37.5649367,126.9383335
87,연세대학교(면접형),물리학과,10/1~10/10,09월 30일,10월 14일,11월 17일,37.5649367,126.9383335
88,연세대학교(면접형),화학과,10/1~10/10,09월 30일,10월 14일,11월 17일,37.5649367,126.9383335
89,연세대학교(면접형),지구시스템학과,10/1~10/10,09월 30일,10월 14일,11월 17일,37.5649367,126.9383335
90,연세대학교(면접형),천문우주학과,10/1~10/10,09월 30일,10월 14일,11월 17일,37.5649367,126.9383335
91,연세대학교(면접형),대기과학과,10/1~10/10,09월 30일,10월 14일,11월 17일,37.5649367,126.9383335
92,연세대학교(면접형),화공생명공학부,10/1~10/10,09월 30일,10월 14일,11월 17일,37.5649367,126.9383335
93,연세대학교(면접형),전기전자공학부,10/1~10/10,09월 30일,10월 14일,11월 17일,37.5649367,126.9383335
94,연세대학교(면접형),건축공학과,10/1~10/10,09월 30일,10월 14일,11월 17일,37.5649367,126.9383335
95,연세대학교(면접형),도시공학과,10/1~10/10,09월 30일,10월 14일,11월 17일,37.5649367,126.9383335
96,연세대학교(면접형),사회환경시스템공학부,10/1~10/10,09월 30일,10월 14일,11월 17일,37.5649367,126.9383335
97,연세대학교(면접형),기계공학부,10/1~10/10,09월 30일,10월 14일,11월 17일,37.5649367,126.9383335
98,연세대학교(면접형),신소재공학부,10/1~10/10,09월 30일,10월 14일,11월 17일,37.5649367,126.9383335
99,연세대학교(면접형),산업공학과,10/1~10/10,09월 30일,10월 14일,11월 17일,37.5649367,126.9383335
100,연세대학교(면접형),컴퓨터과학과,10/1~10/10,09월 30일,10월 14일,11월 17일,37.5649367,126.9383335
101,연세대학교(면접형),시스템생물학과,10/1~10/10,09월 30일,10월 14일,11월 17일,37.5649367,126.9383335
102,연세대학교(면접형),생화학과,10/1~10/10,09월 30일,10월 14일,11월 17일,37.5649367,126.9383335
103,연세대학교(면접형),생명공학과,10/1~10/10,09월 30일,10월 14일,11월 17일,37.5649367,126.9383335
104,연세대학교(면접형),신학과,10/1~10/10,09월 30일,10월 14일,11월 17일,37.5649367,126.9383335
105,연세대학교(면접형),정치외교학과,10/1~10/10,09월 30일,10월 14일,11월 17일,37.5649367,126.9383335
